MTPR from curr14.mtp, Database: group1.cfg
validation set: group2.cfg
Found configuration with mindist=2.00222, MTP's mindist will be decreased
BFGS iterations count set to 3000
BFGS convergence tolerance set to 0.001
Energy weight: 1
Force weight: 0.01
Stress weight: 0
MTPR parallel training started
BFGS iter 553: f=0.0144687
BFGS iter 554: f=0.0144681
BFGS iter 555: f=0.0144676
BFGS iter 556: f=0.0144669
BFGS iter 557: f=0.0144662
BFGS iter 558: f=0.0144657
BFGS iter 559: f=0.0144651
BFGS iter 560: f=0.0144645
BFGS iter 561: f=0.0144638
BFGS iter 562: f=0.0144633
BFGS iter 563: f=0.0144628
BFGS iter 564: f=0.0144623
BFGS iter 565: f=0.0144618
BFGS iter 566: f=0.0144614
BFGS iter 567: f=0.0144607
BFGS iter 568: f=0.0144602
BFGS iter 569: f=0.0144596
BFGS iter 570: f=0.0144593
BFGS iter 571: f=0.0144588
BFGS iter 572: f=0.0144582
BFGS iter 573: f=0.0144578
BFGS iter 574: f=0.0144573
BFGS iter 575: f=0.0144567
BFGS iter 576: f=0.0144562
BFGS iter 577: f=0.0144558
BFGS iter 578: f=0.0144554
BFGS iter 579: f=0.0144549
BFGS iter 580: f=0.0144544
BFGS iter 581: f=0.0144539
BFGS iter 582: f=0.0144533
BFGS iter 583: f=0.0144528
BFGS iter 584: f=0.0144523
BFGS iter 585: f=0.0144519
BFGS iter 586: f=0.0144515
BFGS iter 587: f=0.0144511
BFGS iter 588: f=0.0144506
BFGS iter 589: f=0.0144501
BFGS iter 590: f=0.0144496
BFGS iter 591: f=0.0144491
BFGS iter 592: f=0.0144487
BFGS iter 593: f=0.0144482
BFGS iter 594: f=0.0144477
BFGS iter 595: f=0.0144471
BFGS iter 596: f=0.0144465
BFGS iter 597: f=0.014446
BFGS iter 598: f=0.0144456
BFGS iter 599: f=0.0144451
BFGS iter 600: f=0.0144358
BFGS iter 601: f=0.0144346
BFGS iter 602: f=0.0144338
BFGS iter 603: f=0.0144333
BFGS iter 604: f=0.0144329
BFGS iter 605: f=0.0144325
BFGS iter 606: f=0.0144321
BFGS iter 607: f=0.0144317
BFGS iter 608: f=0.0144313
BFGS iter 609: f=0.014431
BFGS iter 610: f=0.0144307
BFGS iter 611: f=0.0144304
BFGS iter 612: f=0.01443
BFGS iter 613: f=0.0144296
BFGS iter 614: f=0.0144293
BFGS iter 615: f=0.014429
BFGS iter 616: f=0.0144286
BFGS iter 617: f=0.0144283
BFGS iter 618: f=0.014428
BFGS iter 619: f=0.0144277
BFGS iter 620: f=0.0144274
BFGS iter 621: f=0.0144271
BFGS iter 622: f=0.0144267
BFGS iter 623: f=0.0144263
BFGS iter 624: f=0.0144258
BFGS iter 625: f=0.0144255
BFGS iter 626: f=0.014425
BFGS iter 627: f=0.0144246
BFGS iter 628: f=0.0144241
BFGS iter 629: f=0.0144236
BFGS iter 630: f=0.0144231
BFGS iter 631: f=0.0144226
BFGS iter 632: f=0.014422
BFGS iter 633: f=0.0144215
BFGS iter 634: f=0.014421
BFGS iter 635: f=0.0144207
BFGS iter 636: f=0.0144201
BFGS iter 637: f=0.0144197
BFGS iter 638: f=0.0144192
BFGS iter 639: f=0.0144187
BFGS iter 640: f=0.0144183
BFGS iter 641: f=0.0144179
BFGS iter 642: f=0.0144175
BFGS iter 643: f=0.0144171
BFGS iter 644: f=0.0144167
